text,user,time,favorites,retweets,sentimentA,sentimentB,friendCount,followerCount,description,location,type,time_bin,cluster
strong work,messengerflats,6/12/17 8:52,0,0,Very Positive,NA,1254,226,health department emergency coordinator beer brewer reader of many thingspublic health environmental health health physics and other sciency stuff,"37.063326,-76.486035",reply,3,3
rebel,barryonash,6/12/17 8:46,0,0,Negative,NA,1340,708,covfefes for closers onlygggr fan of panthers football grandkids my dogs proudly blocked by hair club for men i sense your frustration,North Carolina,reply,3,3
hooray for and sneaky subversion,Suziebells,6/12/17 8:45,0,0,Negative,NA,930,268,thinking engine rd sector leader nhs fan and patient r listener mother and kite flyer info goes in ideas come out,in the middle of England,reply,3,3
if this is target i can verify that some awesome nasa tshirts did at one time resid,scantilyglad,6/12/17 8:44,220,15,Very Positive,NA,268,461,too stressed to be blessed,,reply,3,3
bought my friends baby daughter a nasa onesie at griffith observatory,Kimalysong,6/12/17 8:43,0,0,Very Positive,NA,615,562,animemanga big finish audios turner classic movie fan i also love my two cats proud member of the versaillesfamily,,reply,3,3
replace them in the boys section with mlp tank tops,jfarnhill,6/12/17 8:42,1,0,Neutral,NA,104,192,cyclist it project manager photographer organic gardener husband and dad not necessarily in order of priority tweets are my own, Warwickshire,reply,3,3
hey would it be okay if i used this tweet in an article im writing for thanks,ParkerMolloy,6/12/17 8:41,35,1,Positive,NA,1901,81935,i write at i love a woman named a dog named meatball sheher im trying my best,"Chicago, IL",reply,3,3
excellent,XDaneelOlivaw,6/12/17 8:41,1,0,Positive,NA,380,119,entrepreneur engineer futurist dad we come from the same seed lets work together as one theresistance onemarch origami,Phoenix AZ,reply,3,3
you go far girl,ScroDonna,6/12/17 8:41,0,0,Neutral,NA,99,86,,,reply,3,NA
i love you katie hinde you walk the walk of your mission,ahilbrichdavis,6/12/17 8:39,3,0,Positive,joy,11603,13144,mother of speaker work life expert and ceo of familylife success helping parents simplify every day life reduce stress raise kids who thrive,,reply,3,NA
my stepdaugher just bought one of those out of the boys department seriously get it together target,OohShiny_Sarah,6/12/17 8:38,1,0,Neutral,joy,1234,668,middle school teacher tech gal peace justice homemade pie crust,"Henderson, TX",reply,3,3
such a great idea we should all do this until the stores get it together and do it themselves,lyricspeace,6/12/17 8:37,0,0,Positive,joy,268,18,determined to find my peace by speaking my piece,,reply,3,NA
how the is that not already normal almost half my software team is women and they a,hockleyd,6/12/17 8:35,0,0,Neutral,NA,1606,696,software dev it product and general techmacgyver drummer and goalie ice hockey many interests and generally friendly,"Calgary, Alberta, Canada",reply,3,3
brilliant,Kmgflynn,6/12/17 8:32,1,0,Positive,NA,242,16,,,reply,3,3
my daughter saw these and asked for one,VBSammiLynn,6/12/17 8:28,1,0,Positive,NA,461,422,educator advocate activist american,"Virginia, USA",reply,3,3
thats awesome,leah_bh,6/12/17 8:24,1,0,Positive,NA,1922,304,,Tulsa,reply,3,3
cool you just created more work for the staff,aleczandah,6/12/17 8:21,0,0,Very Positive,NA,894,457,ugandas premier industrialvaporwave artistdj i also make videogames,"Kampala, Uganda",reply,3,2
thank you,lisa_pearl_,6/12/17 8:20,1,0,Positive,NA,861,156,citizen of the galaxy,"Atlanta, GA",reply,3,3
you fool theyll be wildly incompatible,pizzaUNOFFICIAL,6/12/17 8:17,1,0,Very Negative,NA,575,660,im secretly but dont tell anyone,Savannah GA,reply,3,3
i want one,screenhouseprod,6/12/17 8:14,1,0,Positive,NA,359,240,science and factual tv company owner executive producer presentation media trainer inc for royal society art charity trustee,Leeds,reply,3,3
amazing thank you,ThePatrickRollo,6/12/17 8:13,1,0,Very Positive,surprise,389,395,love when you can cry when you have to dan f was retired back in the office what can i do for you seriously ask ill say no if i cant,Rhode Island,reply,3,3
doing the lords work,misplacedwilder,6/12/17 8:13,2,0,Positive,NA,880,341,learning to play fiddle while the world burns im a writer filmmaker history buff and science lover who prefers comedy to most things,Los Angeles,reply,3,3
thank you,DrAndreDavid,6/12/17 8:08,1,0,Positive,NA,306,1199,disproving h is standard model higgs bosonlhc views my ownmany homonyms drphysics science stem scicomm typosinthewild,likely in a meeting.,reply,3,3
doing gods work one tank top at a time,littleblop,6/12/17 8:00,2,0,Positive,surprise,757,78,coos in french,,reply,3,3
good work citizen,retroremakes,6/12/17 7:58,2,0,Very Positive,joy,592,8496,legendary gamemaker values people over corporations writes and writes about videogames for humans old man who flashes lights at folk gamesserious account,British Rocket Group,reply,3,3
thats very funny good on you,simonhcwilson,6/12/17 7:52,1,0,Very Positive,joy,621,306,all i want is the chance to prove that money cant make me happy,London,reply,3,3
bless you thank you,nbboston,6/12/17 7:50,1,0,Very Positive,NA,471,123,blacklivesmatter,,reply,3,3
you rock,CharlotteGore,6/12/17 7:50,2,0,Positive,NA,1281,3501,nerd maker gobshite currently working on vr game about robots set in yorkshire head forehead sponger at the stairfall institute,"Calderdale, West Yorkshire",reply,3,3
telling children what they can and cannot wear or do based on their genitals is such discrim,MayaPosch,6/12/17 7:50,2,0,Negative,NA,623,2346,softwaregame studio owner geek author anime developer electronics science ptsd formerly dutch intersex hermaphrodite human rights,"Karlsruhe, Germany",reply,3,3
i love it,wizbee1,6/12/17 7:48,2,0,Positive,joy,553,251,teacher scientist geek," Neptune Beach, Florida",reply,3,3
what a rebel you rly making a difference thank you,BernardoGrando,6/12/17 7:47,0,0,Neutral,NA,349,251,antiliberal communist,,reply,3,2
i hate to be the negative nancy in all this but this is just making more work for the employees there,lawilson009,6/12/17 7:47,8352,405,Very Negative,anger,113,17,,,reply,3,3
i did something similar in the entertainer arranging jojo bows in with all of the death star lego f,alicelouisegrif,6/12/17 7:45,2,0,Neutral,NA,396,338,teacher author geographer fairtrade fanatic landscapes nerd place junkie geog ed of oddizzi editor on oups a level team frgs views are my own,"Great Missenden, Bucks, UK",reply,3,3
as a kid and even now as a adult i shop in the guys section cause thats where all the cool tshirts are,RGDole,6/12/17 7:43,2,0,Positive,joy,224,166,writes the mostly book review blog a drip of truth a drop of lies,,reply,3,3
sweet,Pulpiteer,6/12/17 7:41,2,0,Positive,NA,1220,677,no tears but you dont have a mug big enough for my liberal outrage and disgust,"The Fringe, USA",reply,3,3
the targets in baltimore has a bunch of nasa girls stuff fwiw,BmoreBaker42,6/12/17 7:37,5,0,Negative,NA,526,345,father teacher reader blogger,Baltimore,reply,3,3
i got my friends toddler daughter several dinosaur and planet tshirts from the boys section,SacriliciousM,6/12/17 7:30,12,2,Positive,NA,313,113,a heart the size of arizona but not nearly so arid a living emoji,,reply,3,3
i was looking at baby onesies at and the nasa ones were considered boys needless to say my daughter has one now,Wildlife_VT,6/12/17 7:28,9,0,Positive,NA,906,480,herper actuallivingscientist wildlifer outdoorenthusiast hunter with a hubby crazy dogs and daughter kezi at greenmtncollege,"Poultney, VT",reply,3,3
thats awesome,RachelGodlessVg,6/12/17 7:24,2,0,Positive,NA,885,2779,associates degree in science working on bs in biologyanthropology writer humanist atheist liberal anti nra equality fossils languages,Ohio USA,reply,3,3
not all heroes wear capes,SerendipitySays,6/12/17 7:19,4,0,Negative,NA,320,1107,agnostic liberal science and tech enthusiast news junkie proud geek pc gamer and overenthusiastic retweeter generally optimistic dreams of being a writer,A Pale Blue Dot,reply,3,3
yea next time youre there could you move some of the ocean ones to the boys thanks,sarah_gioia,6/12/17 7:13,8,0,Positive,joy,538,515,ive given in to social media join me or follow me or whatever seems appropriate,"Minneapolis, MN",reply,3,3
quick put some my little pony swag into the boys section too,404compliant,6/12/17 7:12,6,0,Neutral,NA,62,121,softwaredeveloper brony evil bunny overlord of galacon,Germany,reply,3,3
thank you,MeganPsyD,6/12/17 7:00,1,0,Positive,NA,185,193,psychologist geek dm writer for shrink tank and procrastination buster,"Charlotte, NC",reply,3,3
niiiiice this is why i buy kid stuff onlinethen kiddo doesnt know which aisle it came from and its all just clothes,ashmeads2,6/12/17 6:53,5,0,Neutral,joy,396,118,fan loves hockey democracy and comics also loves apples views expressed are my own,Fandom,reply,3,3
thank you not all heroes wear capes i mean its ok if you did i just assumed not,WaltzInExile,6/12/17 6:44,2,0,Negative,NA,298,142,im the player to be named later,Exile,reply,3,3
start a revolution,trish_shanahan,6/12/17 6:03,1,0,Neutral,NA,102,21,,,reply,3,3
hooray for you,maddy_el,6/12/17 6:01,1,0,Positive,NA,336,334,academic writer feminist member of the acfe board vic past president of the australian federation of university women all opinions are my own,"Melbourne, Australia",reply,3,3
we do the same,lithospheric,6/12/17 5:55,3,0,Neutral,NA,694,1248,tectonics and structural geology remote sensing and satellite images tectnica y geologa estructural teledeteccin e imgenes de satlite petrleo,"West Sussex, England",reply,2,3
did you just start a global movement yes yes you did bravo hey hb folk lets follow suit,fernhames,6/12/17 5:48,5,1,Very Positive,NA,516,478,following rivers ecology sustainability social justice,"north east victoria, Australia",reply,2,3
yes this this,theloopywhisk,6/12/17 5:39,0,0,Positive,NA,106,123,food blogger the loopy whisk a food blog with delicious allergy friendly recipes showing the world that free from doesnt have to be free from taste,"Oxford, England",reply,2,3
go you,FleecyLisa,6/12/17 5:31,1,0,Neutral,NA,128,83,a wannabe female peter pan uncontrollable passion for words creativity cinema and lego love learning from about people want to make everyone happy,"Tamworth, England",reply,2,3
great idea ill do it and with the toys as well why the girls can only have dolls all pink etc m,angelovalidiya,6/12/17 5:29,237,45,Positive,joy,597,691,scientist science communicator and writer science microbiology cats politics earth environment,"London, England",reply,2,3
i was very tempted to do this recently with kids captain phasma tshirts,shirvill,6/12/17 5:14,3,0,Very Positive,NA,509,373,social media content specialist at the bureau of meteorology experience in biochem genetics ip womens health views are my own rts are not endorsements,"Melbourne, Australia",reply,2,3
brings a tear to my eye,SmemilySmelson,6/12/17 4:01,1,0,Neutral,sadness,801,240,concerned virologist and expat living in germany tweeting theresistance a la hamburg sciencemarch dataforall go sox womeninstem ebola,"Hamburg, Germany",reply,2,NA
guerilla feminism,LunarLadyYT,6/12/17 3:53,7,0,Negative,NA,405,243,i like sims and stupid dolls,the moon,reply,2,3
youre the hero we deserve,kelseyheater,6/12/17 3:19,2,0,Very Positive,joy,535,197,band nerd graphic designer,"Fresno, CA",reply,2,3
hero,lucyasgarrett,6/12/17 2:59,1,0,Positive,joy,1513,499,researcherincentives for ecosystemservices conservation wildlifetrade yoga teacher severe wanderlust adventure coffee surfing triathlon obsessed,Rome / Lombok,reply,1,3
yeah i got all excited just by the picture but the tweet is awesome too,EducatedSavage,6/12/17 2:59,1,0,Very Positive,NA,543,243,photographer artist dancer instructor web master poet alchemist passion seeker screams,"Arizona, USA",reply,1,3
this is the best,gte,6/12/17 2:07,3,0,Positive,NA,587,15106,union,Montreal,reply,1,3
my daughter has two nasa tees both purchased from boys department we start there now,nikkitruckee,6/12/17 1:44,68,3,Positive,NA,1060,1477,writing dinner may be delayed nikkisearsmanncom sbto,"Sierraville, CA",reply,1,3
did you just reach hero status yes yes you did,Aton_Eloh,6/12/17 1:26,2,0,Very Positive,joy,1084,278,the eyes of my harlequin great dane im very new to this please be gentleish viciously antibully proud public school volunteer gedogen invictus,"Madison, WI",reply,1,3
your initiative might interest,hellaime,6/12/17 1:02,2,0,Positive,joy,517,287,multifacettes aimant danser allaitement portage fminisme bofh unix teamcassandre deuilprinatal dont de monoparentalit impose,,reply,1,3
awesome,arclight,6/12/17 1:00,1,0,Positive,NA,1883,5279,engineer sysadmin improvisor skeptic and just some guy s exhusband nuclear scoundrel,"Forest Park, IL",reply,1,3
oooooh i need to start doing this with pjs all the comfy piece sets are in boys sec also all t,tabinfl,6/12/17 0:29,19,1,Positive,NA,966,307,mom of many hats currently homeschooler girl scout leader bod musician pcusa elder nasadatanauts clever techie lifelong learner,Florida,reply,1,3
hero,ashleeeeew,6/12/17 0:29,4,0,Positive,joy,1008,474,astronomy phd candidate likes exoplanets books radical inclusion pie dislikes aerosol suppression of atmospheric features the patriarchy bacon,Maryland,reply,1,3
the target i was in today has nasa shirts in both sections we bought one of those tank tops for our son,drmagoo,6/12/17 0:09,177,6,Neutral,NA,784,1254,physics teacher dad writer sports fan unabashed liberal fan of puns and bad humor geek impeach trump,"Glendale, AZ",reply,1,3
finding a way to protest do no harm to store staff,Mammals_Suck,6/13/17 11:55,197,48,Neutral,NA,3641,12998,i study mothers milk infant development viva la nuance ferociouslyresilient,"Phoenix, AZ",quote,12,3
stunning and brave,Nanoaggression,6/13/17 11:55,1,0,Very Positive,NA,842,601,social justice obesity penis envy repulsive hair colors,Safe spaces,quote,12,2
honestly we geek girls know where to aquire our nasa tees you dont need to create extra work for already stresse,happydwarff,6/13/17 11:54,1,1,Very Positive,NA,5288,5314,patriot forever love camping hiking being onunder water range days horses tallships a leofamily backtheblue reagan conservative christian,,quote,12,NA
cheers we need more women scientists astronauts just like star treks gene roddenberry said space exploratio,beerscouts,6/13/17 11:52,1,0,Very Positive,joy,3348,3905,drinking beer watching trumps dementia advance no dms please i block trump bigots people w locked tweets people who add me to lists,"Long Belch, PA",quote,12,NA
u got it gurl,kixifx,6/13/17 11:52,0,0,Neutral,NA,163,415,mikes princess family hye nyx,,quote,12,NA
you vandal,WiljamL,6/13/17 11:52,1,0,Neutral,NA,175,108,s kid coco pops fan hell yeah,Finland,quote,12,2
awesome,BlytheSunshine,6/13/17 11:51,0,0,Positive,NA,340,35,,Tampa,quote,12,3
smh,spydaman617,6/13/17 11:50,0,0,Neutral,NA,919,1600,boston made pornstar licked ashanti hugged michelle obama danced with rihanna palmed beyonce ass oh and i let nicki minaj twerk on me,"Boston, MA",quote,12,3
well done,thekeymon,6/13/17 11:49,0,0,Positive,NA,125,183,,"London, UK",quote,12,3
dont ever do this shit at my target ill spaz,Coal_Signs,6/13/17 11:47,3,0,Very Negative,NA,571,425,lachrymologist,"San Antonio, TX",quote,12,3
you mean you put them over all the pink princess outfits,amarcouxmcneal,6/13/17 11:47,0,0,Neutral,NA,35,14,immigration attorney newlywed runner cyclist minimalist urbanist and zero waste wannabe i wont show you pictures of food i promise,"Fort Lauderdale, Florida",quote,12,NA
cool may be we should all do that whenever the opportunity arises,goodloaf,6/13/17 11:45,0,0,Very Positive,NA,247,83,i enjoy baking bread at home i work in it and like netapp filers i can call a bushdance if pressed,,quote,12,3
ummmm target has nasa shirts for girls too theyre just not in the spot where you put thoseand theyre nicer,mechafeather,6/13/17 11:44,0,0,Neutral,NA,133,80,artistanimatorflorist i will draw if my cat allows it,"Albuquerque, NM",quote,12,3
congratulations,Ryan_Slaps_Yute,6/13/17 11:43,0,0,Positive,NA,311,151,laughing at nothing,London,quote,12,3
everyday heroes,nova_road,6/13/17 11:39,6,0,Positive,NA,1119,3460,space columnist for the bylines in popular science and wired magazine appearances on bbc aljazeera and rt find me at kennedy space center,"Cape Canaveral, FL",quote,12,3
just walk to the boys section you annoying fuck merchandisers do things for certain reasons and i can guarantee t,MaddieEvanz,6/13/17 11:39,0,0,Neutral,anger,151,222,im blunt but i prefer bongs made in instagram maddieevanzz,EVERYWHERE youll never know,quote,12,3
this is the worst thread i think ive ever seen,theragingautist,6/13/17 11:38,2,0,Negative,NA,1678,891,filthy lolicon that likes memes politics shitposting hentai and cute anime girls straight m azusa nakano is my waifu,"Colorado, USA",quote,12,2
right on,hapymn,6/13/17 11:38,0,0,Positive,NA,154,19,happy man reaper of flowers grandfather of father of,"East Greenbush, New York, USA",quote,12,3
wow so this took many unexpected turns had some important things to think about,Mammals_Suck,6/13/17 11:38,335,167,Very Positive,NA,3641,12998,i study mothers milk infant development viva la nuance ferociouslyresilient,"Phoenix, AZ",quote,12,3
or you could just walk to the boys section smh those are unisex tshirts this has me very hot for some reason,audasiadavis,6/13/17 11:37,0,0,Very Positive,joy,2191,1102,jan st,,quote,12,NA
lmao fucking sjws pathetic,ivaNTaps,6/13/17 11:36,0,0,Negative,sadness,430,203,centerright incredibly negative irate person,house of blues,quote,12,1
dont do this its very annoying for people who have to put it all back once you leave,audasiadavis,6/13/17 11:36,0,0,Very Negative,anger,2191,1102,jan st,,quote,12,NA
love this,LouWhiteheadPA,6/13/17 11:35,1,0,Positive,joy,714,1538,citizen of the world yorkshire senior ea board membernonexec director ypa finalist world traveller pa champion tv addict views are my own,Leeds,quote,12,3
what can you do,P_racemosa,6/13/17 11:35,0,0,Neutral,NA,244,36,,San Francisco,quote,12,3
wdym boys section id buy these in a heartbeat idc,Ioveshays,6/13/17 11:35,1,0,Neutral,NA,78,5382,i dont like guns id throw roses around,#lovewins,quote,12,3
this woman has changed the world there will be no more war or poverty thank goodness,tomwbay,6/13/17 11:35,1,0,Neutral,anger,103,213,damn,Oklahoma ,quote,12,3
shoot for the stars,WASNoorlander,6/13/17 11:32,0,0,Negative,NA,179,35,marketing manager civil engineering student nd world champion in solar racing loves giving talks about each subject,"Delft, Nederland",quote,12,3
wow youre really smashing those gender stereotypes right there,re_pegi,6/13/17 11:31,1,0,Very Positive,NA,66,29,hopefully this will solve it art and stuffs r nsfw warning,Germany,quote,12,2
see do better,Warriorgemann,6/13/17 11:30,0,0,Positive,NA,62,149,not my job to save your soul sayhername mni wiconi pussygrabsback i am a liberal just not a good liberal,Khaz Modan,quote,12,3
good i was so worried because this is the number problem in country after all,MacNeuroth,6/13/17 11:26,5,0,Negative,joy,164,221,dathlete,Dallas Tx,quote,12,2
because girls should be encouraged every day to be more than princesses,Katiemcblondie,6/13/17 11:26,0,0,Very Positive,NA,180,121,design some cool sht and change the world in the process,"Santa Monica, CA",quote,12,3
rock on rocket on,bradleygirl,6/13/17 11:26,2,0,Positive,NA,445,417,these arent the droids youre looking for,Atlanta,quote,12,3
love this,neal_erin,6/13/17 11:25,0,0,Positive,joy,1047,218,dc consultant for space defense sector physics major turned cong staff turned industry exec rpcv recovering policy analyst mom to worlds cutest kids,"Washington, DC",quote,12,3
you go great idea,paelre,6/13/17 11:23,2,0,Positive,joy,43,7,,,quote,12,3
this is why people in retail hate customers,FaultyHammock,6/13/17 11:21,0,0,Negative,anger,232,82,christian whovian music student gamer nascar fan nice guy likes muse too much,"Elkton, MD",quote,12,2
dick move,SexYSuccubus,6/13/17 11:20,0,0,Negative,joy,538,669,take a leap of faith all you need is a spark to start a fire scotty,,quote,12,2
awesome,VarditRavitsky,6/13/17 11:20,2,0,Positive,NA,764,965,associate professor of bioethics at the university of montreal interested in geneticsgenomics and reproductive technologies,Canada,quote,12,3
thank you,SableAradia,6/13/17 11:20,1,0,Positive,NA,259,508,aka diane morrison i write about scifi fantasy witchcraft i make music pagan etsy crafts i critique books play dd watch read nerdy things,"Vernon, BC, Canada",quote,12,3
proof that a mammal never suckled raised on soywill manifest sociopathic tendencies,RashaTaus,6/13/17 11:20,0,0,Negative,NA,339,316,homeschooling and breadbaking malove booksdachschundsenglandclassical musicgodgiven right to liberty hate tvhollywoodeupopular culturepc platitudes,,quote,12,2
eu amo demais esse tweet,camisp_,6/13/17 11:19,0,0,Neutral,anger,290,500,life for all its anguish is ours miss ives it belongs to no other,recife,quote,12,3
i am inspired to go shopping and rearrange some shelves,Ronvee14,6/13/17 11:18,0,0,Very Positive,NA,527,109,museum educator special educational needs advocate greenie,"London, mostly",quote,12,3
what we have hereis another case of,DeckledEdges,6/13/17 11:16,1,0,Negative,NA,214,218,recently started using twitter not a bot but i do enjoy russian dressing trump all day every day no lists i block vile blue check people maga,,quote,12,2
this is what you call a stupid cunt i swear modern day feminist are so toxic,NxtGen_Weirdo,6/13/17 11:16,1,1,Very Negative,surprise,118,235,hispanaryan bomb squad going where god takes me new video linked,probably in bed ,quote,12,1
you just pissed off a lot of workers stop forcing this trash down childrens throats stop teaching pc to,hytfrcf,6/13/17 11:12,1,0,Very Negative,anger,1004,372,two zero,United States,quote,12,NA
if someones boss is a fud then chances are you just got someone fired for incorrect inventory well done s,Candy_Saga_Adam,6/13/17 11:12,0,0,Negative,NA,270,87,board and vidya games nerd mostly harmless likes dogs long walks white russians dislikes standing on plugs for science,Terran Home World,quote,12,3
oh wow youre so fucking brave watch out everyone we got boys shirts with the girls,BigHomieJake,6/13/17 11:11,3,1,Positive,NA,273,367,i dont gotta flex shit i know i got it gooddadgang,WHERE THE WEED AT,quote,12,2
this is called mischief,LanreAA,6/13/17 11:11,0,0,Negative,NA,762,1583,of billion unique nevertheless comfortable exerting my individuality a little bit right of centre winnipeg mb canada,,quote,12,2
coming from a boy mom girls sections are always appx x bigger than boys sure take what little we have left,krisi_0109,6/13/17 11:10,0,0,Negative,NA,1060,710,mommywifechristianconservativeformer brat im just here for the hot takes,,quote,12,2
omg brilliant parents take note doing and posting later,bernadinefox,6/13/17 11:09,0,0,Positive,NA,772,366,visualartist writer feminist socialactivist survivorchildsexualexploitation disabled nana momma bernadinefoxca,#VancouverBC ,quote,12,3
piece of shit,mvhmoud,6/13/17 11:09,0,0,Negative,NA,175,1551,expert en rien un avis sur tout,"Paris, France",quote,12,1
ridiculous that theres a girls section anyway,syl_kn,6/13/17 11:08,0,0,Negative,NA,504,122,i live in a world without windows or gates,Adelaide,quote,12,3
noch ein verifizierteraccount und wenn man ihren namen googelt kommt genau nichts,EnochPoweIl,6/13/17 11:08,2,0,Neutral,NA,856,313,wir deutsche frchten gott aber sonst nichts in der welt,Regnum Teutonicum,quote,12,NA
lol at thinking this is confronting sexism these minimum wage workers will have to move these shirts back take,nickintheback,6/13/17 11:07,0,0,Negative,joy,155,191,hey im nick hows it going,Bossier,quote,12,1
or shoppers can just go to boys section to pick out clothes,akmutwt,6/13/17 11:04,0,0,Positive,joy,88,938,,,quote,12,3
she didnt change the prices because the would take skills,liars_never_win,6/13/17 10:59,22,4,Neutral,NA,10155,15835,voted kinda of a dick navyvet,Texas,quote,12,NA
seeing this legitimately triggered a headache smh what is this gonna do for anyone really,LordVsante,6/13/17 10:59,0,0,Negative,NA,327,150,ig lvrdasante,Toronto,quote,12,1
wahnsinn was der sich traut,FelixAustria97,6/13/17 10:58,1,0,Neutral,NA,373,254,monarchist national conservative christian and redhead lover austria erit in orbe ultima,"Wien, Ì_sterreich",quote,12,2
i get the point but i feel bad for the store workers btw girls tanks cut different from boys and you are in the p,wndywitch,6/13/17 10:58,1,0,Very Negative,sadness,551,386,im a total geek who plays online poker that was until the doj got in the middle of things,So Cal,quote,12,3
you go girl,kirkwoodtiger,6/13/17 10:57,0,0,Neutral,NA,378,242,avid slightly rabid mizzou tiger fan in kirkwood sports fan tennis and golf player loves dogs life and good wine food tweets are my own thoughts,Kirkwood Missouri,quote,12,3
vous chipotez jai ce pyjama nasa en coupe meuf alors bon,frhbh,6/13/17 10:56,0,0,Neutral,joy,199,498,dont be fooled by the rocks that i got im stillim still farah from the block,,quote,12,1
fucking feminazis there are boys and girls sections for a reason boys and girls have different bodies that requi,mranjelorion,6/13/17 10:55,0,0,Negative,NA,111,90,im offensive and you should get over it,"Phoenix, AZ",quote,12,1
could you just walk over to the boy section and buy it for a girl anyway or do you think youll get tackled by the,danalangdon,6/13/17 10:55,0,0,Neutral,joy,278,60,i know everything just ask me and ill verify that,,quote,12,2
not all heroes wear capes,UnfetteredMuse,6/13/17 10:55,0,0,Negative,NA,533,547,author of weavers folly coming spring from fangirl gamer critter pitchwars mentee probably talking about dragon age,Georgia,quote,12,3
im dying,FauxFawx,6/13/17 10:53,0,0,Negative,NA,672,1830,future corpse current troglodyte,,quote,12,3
rosa parks bus boycott mlks march on washington katie hinde moves nasa tank tops to the girl sec,TyKRice,6/13/17 10:51,2,0,Neutral,NA,162,133,i got flipped off in sunny sweet home oregon bet they didnt realize that wayne gretzky asked my mom out,Corvallis Oregon,quote,12,2
brilliant idea well done,Jen_Barbery,6/13/17 10:47,0,0,Very Positive,NA,300,156,ive got my eyebrows set to quizzical trumpimpeachmentnow trumpbuysfollowers resistance,,quote,12,3
yesterday she congratulated herself for putting boys shirts in girls section and k people appro,bwsqrd,6/13/17 10:45,0,0,Neutral,NA,158,172,grateful to have been created to be a nambypamby pantywaisted weakkneed christian,"Kennesaw, GA",quote,12,3
now all the workers have to pick up after you how lovely boycott write to target dont interfere and mess up an,LunaLincoIn,6/13/17 10:43,0,0,Negative,joy,165,501,keplere bound with my iphone ruby latina catalonia colombia lagenteunida blacklivesmatter nobannowall berniewouldhavewon progressive,NCC-1701,quote,12,3
what if an employee sees this and puts them back in the boys section you did all this for nothing,KdotJohnson_,6/13/17 10:42,1,3,Negative,NA,1881,6686,film major packers,Chicago / LA,quote,12,1
reasonably harmless funny tweet,Jonny_C85,6/13/17 10:42,1,0,Very Positive,NA,1929,1626,dad husband optimistic curmudgeon mostly harmless kinda has a podcast,Northern Ireland,quote,12,3
love it,kellydobos,6/13/17 10:39,0,0,Positive,joy,1717,2180,cosmetic chemist out to make her mark on the world all tweets are my own,"Cincinnati, OH",quote,12,3
the entire thread of this tweet is a bunch of fucking fools,ho0dr4t,6/13/17 10:38,0,0,Very Negative,NA,100,360,,"Spirit Realm, Land of Ooo",quote,12,3
stores gotta keep up my daughters are always wondering why the cool stuff is in the boys section way to go,cdesrocher,6/13/17 10:37,1,0,Positive,NA,284,189,making cool design products for the air force at defense media activity official typography nerd tweets are mine not dods,"Silver Spring, MD",quote,12,3
great awesome the worker probably saw you do that we usually do and moved it back as soon as you left good wor,chloe_barbour,6/13/17 10:36,0,0,Very Positive,joy,191,418,dont touch my disney sc chlbell,the second star to the right,quote,12,1
uau hein quebrou os generos,otarwio,6/13/17 10:36,0,0,Neutral,NA,205,1019,,sp,quote,12,1
white people saving the world,nazmraz,6/13/17 10:33,0,0,Very Positive,NA,330,4758,nah im good, - Kuwait by way of Arizona -,quote,12,1
leave children out of your crap let kids be kids and stop pushing them into your likeness,moonfly9,6/13/17 10:32,0,0,Very Negative,NA,388,109,ufo hunter monster chaser secret ninja and s boss,"Palm Bay, FL",quote,12,3
hehe you really showed those low wage employees just doing their jobs for minimum wage,RealPsychrozen,6/13/17 10:31,2,0,Very Negative,sadness,226,89,plans on marrying princess peach before,https://vid.me/Psychrozen,quote,12,NA
i love that she did this not the original bias,ExploreYourEdge,6/13/17 10:30,0,0,Neutral,joy,121,47,leadership coaching discover explore and expand your edge,"Washington, DC",quote,12,3
take that target employee who has to put it all back job well done,LiquidLozenge,6/13/17 10:27,1,0,Very Positive,NA,243,89,sugar free low calorie,"Iqaluit, Nunavut",quote,12,2
so when i am shopping with my daughters and they want one i have to go find the right sized somewhere else in the,88husker,6/13/17 10:27,1,0,Very Positive,NA,3210,3647,pro staff fire n iced turkey calls certified hunter ed instructor hips archery targets upwind scent elimanation feild staff and love the huskers cubs celtics,The Homeland of the #HUSKERS ,quote,12,NA
as a human good for you as a former retail employee i hope you go straight to hell,JohnnyC908,6/13/17 10:23,0,0,Very Positive,joy,1271,392,all the knowledge accumulated by man kind and all the mysterious forces of the natural world reside in cheese anthony bourdain,"Chicago, IL",quote,12,2
its not like target supports trans people and is generally pro social justice gotta do some dumb shit like this b,RomyLarson,6/13/17 10:23,1,0,Positive,joy,207,143,somebody once told me the world was gonna romy,believeland,quote,12,3
ive worked retail too long this kinda just annoys me shes just making the employees work harder so she can show,OdicHastings,6/13/17 10:22,0,0,Positive,NA,74,47,,,quote,12,3
i hope you put those back for the sake of the minimum wage retail workers,goldltechnocrat,6/13/17 10:22,0,0,Neutral,NA,298,314,,College State University,quote,12,2
dismantling the patriarchy in large and small ways,LynneCripe,6/13/17 10:20,0,0,Negative,NA,730,124,personal twitter account director of resilience services i tweet about mental health politics food and other things that make life better,"Alexandria, VA",quote,12,3
did i just take a bunch of bob marley bucket hats from the boys section and put them in the maternity section ja b,aseriousmang,6/13/17 10:19,4,0,Positive,NA,420,395,my own boss at stayathome uncle kid rock senatorial campaign director of digital outreach social security number is,"Detroit, MI",quote,12,3
